date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:47	220122/220122	---M-Z	200	added ('OK')	text/html	etag:W/%2261d209bf26316674fa3a7497699e8e28%22	https://pocomart.mysapo.net/apple	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/apple.html	(from https://pocomart.mysapo.net/)
16:46:48	140754/140754	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Nov%202023%2018:54:44%20GMT	http://bizweb.dktcdn.net/100/429/689/themes/869367/assets/swiper.js?1697597694844	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/themes/869367/assets/swiper2c6f.js	(from https://pocomart.mysapo.net/)
16:46:49	219193/219193	---M-Z	200	added ('OK')	text/html	etag:W/%220eaaab6148509bfe004ad1cc00870998%22	https://pocomart.mysapo.net/iphone-x	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-x.html	(from https://pocomart.mysapo.net/)
16:46:49	213480/213480	---M-Z	200	added ('OK')	text/html	etag:W/%22f15e0210190087b44534f29377957ae7%22	https://pocomart.mysapo.net/iphone-11	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-11.html	(from https://pocomart.mysapo.net/)
16:46:49	213530/213530	---M-Z	200	added ('OK')	text/html	etag:W/%2235fbf62de81be9224520f0bf5731dce9%22	https://pocomart.mysapo.net/iphone-12-mini	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-12-mini.html	(from https://pocomart.mysapo.net/)
16:46:49	213560/213560	---M-Z	200	added ('OK')	text/html	etag:W/%221228f66c2c18ad7aa5d970b81f297eda%22	https://pocomart.mysapo.net/iphone-12-pro-max	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-12-pro-max.html	(from https://pocomart.mysapo.net/)
16:46:50	201890/201890	---M-Z	200	added ('OK')	text/html	etag:W/%2216c0ef7d4548f613743f8dc3885c9d97%22	https://pocomart.mysapo.net/samsung	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/samsung.html	(from https://pocomart.mysapo.net/)
16:46:50	297701/297701	---M-Z	200	added ('OK')	text/html	etag:W/%22273f2a1a89f7bcd4ff9b8156b238e5bd%22	https://pocomart.mysapo.net/collections/all	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/collections/all.html	(from https://pocomart.mysapo.net/)
16:46:50	188977/188977	---M-Z	200	added ('OK')	text/html	etag:W/%225678cc40b46e9f3c429e90d9618903e1%22	https://pocomart.mysapo.net/xiaomi	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/xiaomi.html	(from https://pocomart.mysapo.net/)
16:46:51	189486/189486	---M-Z	200	added ('OK')	text/html	etag:W/%228ca3ee5f11f829f8ed87a8dea2f27ed4%22	https://pocomart.mysapo.net/phu-kien-thiet-bi-so	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/phu-kien-thiet-bi-so.html	(from https://pocomart.mysapo.net/)
16:46:51	190498/190498	---M-Z	200	added ('OK')	text/html	etag:W/%22236a48a60cec8676b53d84c822297a1b%22	https://pocomart.mysapo.net/may-anh-quay-phim	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/may-anh-quay-phim.html	(from https://pocomart.mysapo.net/)
